2015-01-01,14
2015-02-01,13
2015-03-01,14
2015-04-01,10
2015-05-01,8
2015-06-01,16
2015-07-01,9
2015-08-01,14
2015-09-01,12
2015-10-01,14
2015-11-01,16
2015-12-01,9
2016-01-01,13
2016-02-01,11
2016-03-01,20
2016-04-01,13
2016-05-01,9
2016-06-01,18
2016-07-01,14
2016-08-01,16
2016-09-01,6
2016-10-01,12
2016-11-01,15
2016-12-01,14
2017-01-01,13
2017-02-01,10
2017-03-01,5
2017-04-01,14
2017-05-01,13
2017-06-01,13
2017-07-01,18
2017-08-01,13
2017-09-01,15
2017-10-01,14
2017-11-01,14
2017-12-01,13
2018-01-01,14
2018-02-01,10
2018-03-01,13
2018-04-01,12
2018-05-01,16
2018-06-01,13
2018-07-01,12
2018-08-01,21
2018-09-01,14
2018-10-01,19
2018-11-01,14
2018-12-01,14
