2015-01-01,20
2015-02-01,14
2015-03-01,17
2015-04-01,22
2015-05-01,23
2015-06-01,27
2015-07-01,26
2015-08-01,33
2015-09-01,18
2015-10-01,20
2015-11-01,17
2015-12-01,24
2016-01-01,20
2016-02-01,22
2016-03-01,33
2016-04-01,16
2016-05-01,24
2016-06-01,28
2016-07-01,18
2016-08-01,28
2016-09-01,22
2016-10-01,24
2016-11-01,23
2016-12-01,17
2017-01-01,31
2017-02-01,20
2017-03-01,20
2017-04-01,14
2017-05-01,22
2017-06-01,23
2017-07-01,24
2017-08-01,28
2017-09-01,16
2017-10-01,29
2017-11-01,12
2017-12-01,26
2018-01-01,14
2018-02-01,19
2018-03-01,21
2018-04-01,14
2018-05-01,27
2018-06-01,19
2018-07-01,19
2018-08-01,18
2018-09-01,23
2018-10-01,18
2018-11-01,19
2018-12-01,28
