2015-01-01,30
2015-02-01,27
2015-03-01,45
2015-04-01,30
2015-05-01,32
2015-06-01,49
2015-07-01,36
2015-08-01,37
2015-09-01,44
2015-10-01,36
2015-11-01,56
2015-12-01,31
2016-01-01,49
2016-02-01,41
2016-03-01,30
2016-04-01,25
2016-05-01,56
2016-06-01,58
2016-07-01,52
2016-08-01,39
2016-09-01,46
2016-10-01,52
2016-11-01,46
2016-12-01,50
2017-01-01,43
2017-02-01,54
2017-03-01,25
2017-04-01,40
2017-05-01,43
2017-06-01,49
2017-07-01,60
2017-08-01,56
2017-09-01,41
2017-10-01,65
2017-11-01,49
2017-12-01,62
2018-01-01,56
2018-02-01,41
2018-03-01,43
2018-04-01,57
2018-05-01,64
2018-06-01,67
2018-07-01,54
2018-08-01,51
2018-09-01,42
2018-10-01,52
2018-11-01,48
2018-12-01,59
